permiso,razon_social,categoria,lat,lng,coordenadas,precio_mediano
PL/7872/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.68884,-100.3164,"25.68884,-100.3164",23.99
PL/7873/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.74626,-100.2602,"25.74626,-100.2602",23.99
PL/7874/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.78592,-100.3771,"25.78592,-100.3771",23.99
PL/7875/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.69057,-100.5022,"25.69057,-100.5022",23.99
PL/7876/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.65534,-100.081,"25.65534,-100.081",23.99
PL/7877/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.75511,-100.2832,"25.75511,-100.2832",23.69
PL/7878/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.7012,-100.2402,"25.7012,-100.2402",23.99
PL/7879/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.65189,-100.0822,"25.65189,-100.0822",23.99
PL/7880/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.64173,-100.0938,"25.64173,-100.0938",23.99
PL/7881/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.83026,-100.2456,"25.83026,-100.2456",23.69
PL/7882/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.58915,-100.2529,"25.58915,-100.2529",23.99
PL/7884/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.7597,-100.1658,"25.7597,-100.1658",23.99
PL/7886/EXP/ES/2015,Gas Nuevo Milenio S.A. de C.V.,Resto mercado,25.65704,-100.3023,"25.65704,-100.3023",23.99
